SMD,Candidate Name,Website,Social,Incumbent
4D02,Jonathan Hogue,,https://sites.google.com/view/jonathanhogueforanc4d02?usp=sharing,
6D03,Gail Fast,,,
5F05,Andrew Pendleton,,,
3C06,Joshua Peacock,,,
6D01,Oliver Roy,,oliver4dc facebook,
3C05,Peter Miles,,,
5F03,Shealia Tyson,,ancshealiat5f@gmail.com,
6D03,Katie Henke,,@katie6d03.bsky.social ; katie6d03.substack.com,
3C03,Janell Pagats,,,
6B08,Jeffrey Menzer,,,
2G01,Christian Dingus,,,
1D05,Omar Parbhoo,,,
2C02,Nancy Groth,https://goodchange.app/donate/nancygroth?mk=ggwash,,
1E04,Rashida E Brown,,@rashidabrowndc,
5A04,Jack Hermes,,,
3D01,Andrew Heimert,,,
5D03,Marcus Thaw,,,
5F04,Melissa L Coughlin,,,
2A08,Jim Malec,,https://x.com/JimMalec,
7B03,Travis R. Swanson,,Bluesky: @travisdc.bsky.social  | Spoutible: @travis,
5D02,Pete Loftus,,"@votepeteloftusanc, www.jpeterloftus.com",
3A03,Isaac Bowers,,,
4C03,Mike Warburton,,www.mikejw.me/4c03,
5A02,Cheryl A. Tracy,,Facebook,
1A03,Joseph Schmitt,,,
1A04,John Henderson,,,
8D04,Daquan Johnson,,@Gildedquan,
7D06,Dominic Pacheco,,instagram: dominic4anc,
6A06,Chris Kennedy,,x.com/chrisjkennedy,
8A06,Ty'on L. Jones,https://secure.actblue.com/donate/tjfor8a06,@TJfor8A06,
5E03,Andrew Waks,,https://andrewwaks.com/,
4C02,Josh Mahan,,none at the moment,
5C02,Danielle Henry,https://secure.actblue.com/donate/danielle-henry-1,https://www.facebook.com/profile.php?id=61593401844782,
7C06,LaDan Wallace Johnson,,,
4C01,Emily Winternitz,,,
4D02,Abel Amene,,,
2B08,Zachary Adams,,,
3C02,Adam J. Prinzo,,@aprinzodc on Twitter and Bluesky and Instagram,
2B02,Jeffrey Rueckgauer,,Twitter: @capitaljeff Bluesky: @capitaljeff.bsky.social Facebook: jeff.rueckgauer,
8B01,Margaret Thomas,,ANC 8B01 Commissioner,
5E05,Ashton DeLano,,,
8D06,Devon Lesesne,,@theeblackanglosaxon,
4B05,Joe Barrios,,www.barriosanc.com,
